x_2a_over_lambda,lambda_nm,total,incoherent,cross_term,S1_real,S1_imag,S2_real,S2_imag
0.62,806.4516129032259,25.414320314009323,30.56975584523063,-5.155435531221308,1.8267623140292109,-2.0921287661949317,-2.576081543386911,3.32626830991322
0.6225,803.2128514056225,25.196441053704103,30.791521245400244,-5.595080191696141,1.8084312856664433,-2.1016720834737557,-2.6073090322121546,3.272755933891026
0.625,800.0,24.96545050224789,30.998932126399,-6.033481624151111,1.7898471483995206,-2.1111351823292837,-2.635618681738933,3.2184654874666947
0.6275,796.8127490039841,24.722370500099814,31.19225390839732,-6.469883408297505,1.7710087093111444,-2.120511174261392,-2.6610409320786768,3.1635726906898007
0.63,793.6507936507936,24.468223629731185,31.37180862966093,-6.903584999929745,1.7519143248753803,-2.1297935198727,-2.6836178471556544,3.108246232389502
0.6325000000000001,790.5138339920948,24.204021550779867,31.53797057631083,-7.333949025530963,1.7325623407723263,-2.1389755338148992,-2.7034030706961483,3.0526455393984553
0.635,787.4015748031496,23.930751539147995,31.691154139893335,-7.760402600745341,1.71295100041743,-2.14805019802472,-2.7204601647538795,2.99691962656161
0.6375,784.3137254901961,23.649386756324976,31.831817560502227,-8.182430804177251,1.6930783106860638,-2.157011000915843,-2.7348612292901078,2.9412089671873423
0.64,781.25,23.360868720790595,31.960448893336196,-8.5995801725456,1.6729420903015437,-2.1658513756255804,-2.7466856726019304,2.885643622818341
0.6425000000000001,778.2101167315175,23.06610362020766,32.077562280962226,-9.011458660754567,1.6525401675546407,-2.174564616025321,-2.7560194510797595,2.8303427585412346
0.645,775.1937984496124,22.765959674525785,32.1836903752842,-9.417730700758415,1.6318701016842707,-2.1831441245657324,-2.762953271052878,2.775415392172328
0.6475,772.2007722007722,22.4612635705476,32.27938043802211,-9.818116867474508,1.6109293945367473,-2.191583250170102,-2.7675819696157693,2.7209599327069514
0.65,769.2307692307692,22.15279926336551,32.36518672301046,-10.212387459644951,1.589715097223734,-2.1998755863207013,-2.770002685908452,2.667065371863718
0.6525000000000001,766.2835249042145,21.84130558648936,32.44166829154434,-10.60036270505498,1.5682241402633605,-2.208014719763109,-2.7703146504405836,2.6138106984340523
0.655,763.3587786259542,21.52747469626409,32.50938562114093,-10.98191092487684,1.5464534928331402,-2.2159941144161115,-2.7686185998474238,2.5612648094682275
0.6575,760.4562737642586,21.211953102927463,32.5688944247925,-11.356941321865033,1.5243997317222162,-2.223807436664455,-2.7650151768566102,2.5094880189475246
0.66,757.5757575757575,20.89488676928294,32.62046028035731,-11.725573511074366,1.5020734858970515,-2.2314185899914727,-2.7596117729972747,2.458449908137916
0.6625000000000001,754.7169811320754,20.576989929865572,32.66470102738338,-12.087711097517808,1.4794663913597066,-2.2388312601380003,-2.7525015464979337,2.408223193945702
0.665,751.8796992481202,20.257149812695143,32.70106480655236,-12.443914993857216,1.456627461982727,-2.2459304203184933,-2.7437966717027775,2.3585509579260013
0.6675,749.0636704119851,19.937775176181823,32.73127192151053,-12.79349674532871,1.4334908289431991,-2.25283747400969,-2.7335621195602555,2.309813991151765
0.6699999999999999,746.268656716418,19.619298219829922,32.7558267079346,-13.13652848810468,1.4100517762867826,-2.259546589055611,-2.7218922450794114,2.2620353724210704
0.6725,743.4944237918215,19.302110547626366,32.77521706923668,-13.473106521610315,1.3863054485946804,-2.2660519690142658,-2.7088788984877374,2.2152316668641006
0.675,740.7407407407406,18.986566124581543,32.78991270923927,-13.803346584657724,1.3622466214300406,-2.272348028975682,-2.6946108373405737,2.1694140078558193
0.6775,738.0073800738007,18.67298265870011,32.80036503274677,-14.127382374046658,1.3378698764904629,-2.2784292771784305,-2.6791737863320266,2.1245881256862447
0.6799999999999999,735.2941176470589,18.361644980135583,32.80700600712103,-14.445361026985449,1.3131693378281233,-2.2842905173276655,-2.662649949693138,2.08075547534295
0.6825,732.6007326007326,18.052807114022663,32.810248266211595,-14.757441152188932,1.288138725032797,-2.2899268217579394,-2.6451180195110617,2.0379135293100648
0.685,729.92700729927,17.74669290059787,32.8104857060514,-15.06379280545353,1.2627716949961765,-2.2953332929714056,-2.6266535261543345,1.9960553285498877
0.6875,727.2727272727273,17.443497095699243,32.808089308820165,-15.364592213120922,1.2370614003236295,-2.3005052180557435,-2.6073280774140475,1.9551706385774226
0.69,724.6376811594204,17.14339669371724,32.80341922287705,-15.660022529159807,1.2110008612247642,-2.305438422338393,-2.5872104569300056,1.9152465481467424
0.6925,722.0216606498195,16.846544886277144,32.79681565742362,-15.950270771146478,1.1845827987937199,-2.310128916413248,-2.5663659187221333,1.8762672623728296
0.6950000000000001,719.4244604316547,16.553071370512217,32.788594431363656,-16.23552306085144,1.157799191765188,-2.3145729935627473,-2.544855523818599,1.8382150642457602
