x_2a_over_lambda,lambda_nm,material_covered,ED_exact,ED_approx,ED_error_percent,MD_exact,MD_approx,MD_error_percent,EQ_exact,EQ_approx,EQ_error_percent,MQ_exact,MQ_approx,MQ_error_percent,total_exact,total_approx
0.48750000000000004,1025.6410256410256,1.0,10.465073064629783,78.84307958958273,653.3925382332906,2.3308835238921555,872.8578320438803,37347.509628725034,2.2278447756563162,1.7657647279394482,20.741124012140418,0.09809142001627394,6.533626140376182,6560.75191825362,15.121892784194529,960.0003025017787
0.49,1020.4081632653061,1.0,10.440343807400367,81.43704982815495,680.0226824947126,2.3787987613355375,897.1506273104076,37614.439821160704,2.358783263404927,1.8610089123261933,21.103013524023044,0.10220454583418616,6.85428003913076,6606.433635790482,15.280130377975018,987.3029660900195
0.4925,1015.2284263959391,1.0,10.414299762980116,84.1043954329651,707.5856980027826,2.4273003467719514,921.9765043522516,37883.61853234937,2.4964029848503984,1.9609020505608787,21.450901058012096,0.10645960604396847,7.188808917057096,6652.616493891658,15.444462700646435,1015.2306107528347
0.495,1010.1010101010102,1.0,10.386978941332876,86.84689896505614,736.1131706878361,2.4763877139207637,947.3430296591163,38155.03673490718,2.640936592746834,2.0656482897958206,21.78349546638137,0.11086032593296742,7.537719673886439,6699.294166286487,15.61516357393344,1043.7932965878547
0.4975,1005.0251256281407,1.0,10.35841701897706,89.66637149989673,765.6377836075158,2.52606057153728,973.2591511712681,38428.73371832781,2.7926106780079802,2.1754596153889714,22.099430739813467,0.1154105283150901,7.901560527135524,6746.481549380779,15.792498796837409,1073.0025428136894
0.5,1000.0,1.0,10.328648221899218,92.56466089547146,796.193373099997,2.5763185383867153,999.7341401640726,38704.75668160599,2.951644194395841,2.290556267456951,22.397277022551336,0.1201141049236581,8.280881617379464,6794.179182904965,15.976725059605434,1102.8702389443806
0.5025,995.0248756218906,1.0,10.297706698215626,95.54366641375012,827.8149904027254,2.627160592577931,1026.7753751640132,38983.08376978502,3.1182473074018047,2.411167315244246,22.675558493361255,0.1249749655383981,8.676241896210358,6842.383907715194,16.16808956373376,1133.4064507892178
0.505,990.09900990099,1.0,10.265622839597734,98.60530994930866,860.5389900840404,2.6785861620578397,1054.3927895533004,39263.78095611667,3.2926162917461275,2.5375303551309223,22.93270365295954,0.12999714527281925,9.088249547622002,6891.114711441467,16.36682243867452,1164.623879405362
0.5075000000000001,985.2216748768471,1.0,10.232430070584527,101.75157248731932,894.4028132655175,2.730594107464661,1082.5939522170072,39546.82811178365,3.4749343511253676,2.6698925534120406,23.167108105297356,0.13518468152978907,9.51748167312595,6940.3551389279955,16.573143210704345,1196.5328989308646
0.51,980.3921568627451,1.0,10.19801953508696,104.98037252918768,929.4192138777121,2.7833564588761526,1111.9517107299555,39850.02893660745,3.6650378077972876,2.8084202577652206,23.372679763620223,0.14055704378338818,9.969623458556542,6992.937635996871,16.786970845543788,1229.7101269754648
0.5125,975.6097560975611,1.0,10.162514075784369,108.29625801123223,965.6443592957448,2.8367560941072236,1142.1089742411832,40161.09176653147,3.8632566212587682,2.953430496570863,23.55075559001969,0.1461089011595883,10.442272738056026,7046.910732461394,17.008635692309948,1263.8009354870424
0.515,970.8737864077669,1.0,10.125978037784865,111.70232271140775,1003.1262589607936,2.8907471035419983,1172.9318263491664,40475.38706557854,4.069786981970046,3.1052203732451127,23.70066573504099,0.15184073130429315,10.934869765285825,7101.539186064663,17.238352854601203,1298.6742391991052
0.5175000000000001,966.183574879227,1.0,10.088439949118897,115.20077136921668,1041.908679143975,2.9453240037299575,1204.4176260401875,40792.53421745497,4.284724166292619,3.2640774461903455,23.820593356547242,0.15775658781688365,11.448023907659831,7156.764402731728,17.476244706958358,1334.3304987632544
0.52,961.5384615384615,1.0,10.049925375540125,118.79375554414978,1082.0361953460306,3.000485393113971,1236.5773439262807,41112.576697230084,4.508124870246137,3.4302979110688443,23.908542691241934,0.16386095638709988,11.982478282215286,7212.589006198806,17.722396595287332,1370.7838756637145
0.5225,956.9377990430622,1.0,10.01045940417269,122.48347242821335,1123.5549586980812,3.056229714095541,1269.4218441592097,41435.550757344885,4.7400113963242685,3.6041891240006043,23.962437584104947,0.17015838595267702,12.539004799670632,7269.019592815057,17.976858900545178,1408.0485105110943
0.525,952.3809523809523,1.0,9.970064827050583,126.27216395251274,1166.5129679991005,3.1125550636102215,1302.961636794139,41761.48068599457,4.9803673291019654,3.7860699363755357,23.98010656257717,0.17665348907139886,13.118407352716119,7326.06750745466,18.23964070883417,1446.1382780357433
0.5275000000000001,947.8672985781989,1.0,9.928764643531645,130.1621183963041,1210.9598532089449,3.1694595086826376,1337.2084368499627,42090.42499791276,5.22913487210293,3.9762710980311864,23.959293548837003,0.18335094735535348,13.721479157687096,7383.724167016939,18.510709971672565,1485.0683055019852
0.53,943.3962264150942,1.0,9.88658093407431,134.15567047233804,1256.947071661222,3.226940957233457,1372.1724639438348,42422.39139572715,5.486211030264258,4.175135635299731,23.897647898195693,0.1902555107745504,14.349083649338922,7442.006846961896,18.789988432346576,1524.8523537008116
0.5325,938.9671361502348,1.0,9.84353425836624,138.25520166920035,1304.5280692927354,3.2849970718085872,1407.865117185137,42757.423809209766,5.751443996327428,4.383019245017154,23.79271626715097,0.19737199692882829,15.002078071172738,7500.915177740457,19.077347323431084,1565.5054161705273
0.535,934.5794392523364,1.0,9.79964578017745,142.46314281637478,1353.7580848539108,3.3436255324057464,1444.2976965504522,43095.55771280633,6.0246313088609496,4.600290757109269,23.641953818099694,0.20470529337002105,15.681369560607472,7560.461193967346,19.372607914814168,1607.0424996845438
0.5375000000000001,930.2325581395347,1.0,9.754936052339513,146.7819741008096,1404.694375373246,3.4028238892130607,1481.4816263123605,43436.82924963151,6.305516724377683,4.8273325458482095,23.442712836121476,0.21226035661340983,16.387858024862517,7620.640013203102,19.675537022543665,1649.4787909838808
0.54,925.9259259259259,1.0,9.709422794945981,151.21422395562746,1457.3966357128722,3.4625892439831256,1519.428252270715,43781.2733826571,6.593786419116184,5.064540920302656,23.192220700083038,0.22004220880239164,17.12249877200786,7681.461050222722,19.985840666847682,1692.8295159186528
0.5425,921.6589861751153,1.0,9.66312605165972,155.76247452363594,1511.9263444450512,3.5229189510680925,1558.1488775437983,44128.9163953486,6.889070795902622,5.312326703662926,22.887616326682092,0.2280559448106127,17.886271565109638,7742.931514003352,20.303171743441048,1737.1099503362068
0.5449999999999999,917.4311926605506,1.0,9.616063003811341,160.42935798905907,1568.3476171638295,3.583809894510651,1597.655789832742,44479.814132437205,7.190939838358458,5.571115581384238,22.525904727134975,0.23630672478062908,18.680183135078327,7805.057781330483,20.627119461461078,1782.3364465382635
0.5475,913.2420091324201,1.0,9.568251223080038,165.2175604684145,1626.726824123151,3.6452589363380374,1637.9605110825187,44833.996176633336,7.4989050569250235,5.84134866597163,22.103978892527625,0.24479977877837072,19.505266501474463,7867.844823558251,20.95721499512147,1828.5246867183794
0.55,909.090909090909,1.0,9.5197082750636,170.12982274066871,1687.1327337447435,3.707262868265871,1679.0745891195115,45191.4899424147,7.812419814567203,6.1234829918858305,21.618613218047315,0.25354040650400295,20.362590868310058,7931.300079180306,21.292931364400676,1875.690485720376
0.5525,904.9773755656108,1.0,9.470451201227586,175.16894078385556,1749.6366969416374,3.7698183333098365,1721.010429261966,45552.34388233632,8.13088021890565,6.417992018066831,21.066454734581743,0.26253397640572523,21.253232515259445,7995.421707403799,21.633683729848798,1923.8505945791478
0.5549999999999999,900.900900900901,1.0,9.420494738390845,180.33776477694312,1814.313099098948,3.832921519794331,1763.7804530523092,45916.60753927858,8.453625194037981,6.725366097080688,20.44399955389752,0.2717859211807824,22.178307792705834,8060.212161230238,21.978827373403938,1973.0218917190389
0.5575,896.8609865470852,1.0,9.369856028068138,185.63920532578837,1881.2386099604048,3.8965689291358743,1807.3963821048187,46284.30411407191,8.779944683939577,7.046113175019779,19.747635905854306,0.28130174833038,23.139010819471906,8125.690368726706,22.32767138947397,2023.2207114250987
0.56,892.8571428571428,1.0,9.318522014474286,191.0837236217651,1950.579730615631,3.9605287690213173,1851.1095382918152,46638.949424403276,9.109469005215438,7.380996682110262,18.974457480623453,0.29106080621002123,24.12661348413326,8189.20039021818,22.679580594921063,2073.700872079824
0.5625,888.8888888888889,1.0,9.266498461614448,196.68033906977664,2022.4882288008296,4.024635482831441,1894.37191589969,46969.40352687414,9.441632969773812,7.730766822708077,18.12044751731883,0.3010483986907446,25.13434933056359,8248.939718620837,23.033815312910445,2123.9173711227386
0.565,884.9557522123895,1.0,9.213803528752068,202.436695264468,2097.1023653017523,4.088781391721278,1936.819560436451,47269.11502184999,9.775692757041307,8.096159599771509,17.18070728092443,0.31125544210703227,26.157422042533312,8303.844079146571,23.389533119621685,2173.509837343224
0.5675,881.0572687224669,1.0,9.160506969457188,208.34111348734766,2174.3404287775247,4.153417633693114,1979.9842952839886,47571.20645952082,10.109961669877986,8.477295012275675,16.149088502152697,0.3217398278503148,27.21682514730783,8359.26515506501,23.745626100878603,2224.01952893092
0.5700000000000001,877.1929824561403,1.0,9.106622850387343,214.39700972111564,2254.2976715237137,4.218538599616938,2023.8730056091154,47875.69010730142,10.44351129476605,8.874790474319518,15.021009468651839,0.3325069351983576,28.31359423240699,8415.189078843263,24.101179679968688,2275.4584000369573
0.5725,873.3624454148471,1.0,9.052165720799856,220.6078514427993,2337.072610545471,4.284139331095068,2068.4929860806405,48182.57967865656,10.7753969147935,9.289284705802507,13.79171663691308,0.343562279443309,29.44884685532888,8471.618194828114,24.455264246131733,2327.838969084571
