lambda_nm,jc_n,jc_k,olmon_n,olmon_k,mcpeak_n,mcpeak_k,mean_n,mean_k
1105.000000,0.280625,7.282148,0.182350,7.418000,0.138931,7.759651,0.200635,7.486600
1110.000000,0.283750,7.321016,0.183700,7.456000,0.139443,7.799964,0.202298,7.525660
1115.000000,0.286875,7.359883,0.185100,7.494000,0.140560,7.837084,0.204178,7.563655
1120.000000,0.290000,7.398750,0.186500,7.532000,0.141678,7.874203,0.206059,7.601651
1125.000000,0.293125,7.437617,0.187900,7.570000,0.141493,7.917584,0.207506,7.641734
1130.000000,0.296250,7.476484,0.189300,7.608000,0.141308,7.960965,0.208953,7.681817
1135.000000,0.299375,7.515352,0.190700,7.645500,0.140772,8.005674,0.210282,7.722175
1140.000000,0.302500,7.554219,0.192100,7.683000,0.140236,8.050383,0.211612,7.762534
1145.000000,0.305625,7.593086,0.193500,7.721000,0.141527,8.082635,0.213551,7.798907
1150.000000,0.308750,7.631953,0.194900,7.759000,0.142818,8.114887,0.215489,7.835280
1155.000000,0.311875,7.670820,0.196350,7.796500,0.144774,8.158191,0.217666,7.875171
1160.000000,0.315000,7.709687,0.197800,7.834000,0.146729,8.201496,0.219843,7.915061
1165.000000,0.318125,7.748555,0.199250,7.871500,0.149739,8.234521,0.222371,7.951525
1170.000000,0.321250,7.787422,0.200700,7.909000,0.152748,8.267547,0.224899,7.987990
1175.000000,0.324375,7.826289,0.202150,7.946500,0.151221,8.308980,0.225915,8.027256
1180.000000,0.327500,7.865156,0.203600,7.984000,0.149693,8.350414,0.226931,8.066523
1185.000000,0.330625,7.904023,0.205100,8.021500,0.148800,8.396962,0.228175,8.107495
1190.000000,0.333750,7.942891,0.206600,8.059000,0.147906,8.443511,0.229419,8.148467
1195.000000,0.336875,7.981758,0.208100,8.096500,0.148651,8.479258,0.231209,8.185839
1200.000000,0.340000,8.020625,0.209600,8.134000,0.149395,8.515006,0.232998,8.223210
1205.000000,0.343125,8.059492,0.211100,8.171000,0.150690,8.552503,0.234972,8.260998
1210.000000,0.346250,8.098359,0.212600,8.208000,0.151985,8.590000,0.236945,8.298786
1215.000000,0.349375,8.137227,0.214150,8.245500,0.152704,8.628432,0.238743,8.337053
1220.000000,0.351808,8.176051,0.215700,8.283000,0.153423,8.666864,0.240310,8.375305
1225.000000,0.354068,8.214864,0.217200,8.320500,0.153547,8.705606,0.241605,8.413657
1230.000000,0.356328,8.253678,0.218700,8.358000,0.153671,8.744348,0.242899,8.452009
1235.000000,0.358588,8.292492,0.220250,8.395000,0.155709,8.780940,0.244849,8.489477
1240.000000,0.360847,8.331305,0.221800,8.432000,0.157748,8.817533,0.246799,8.526946
1245.000000,0.363107,8.370119,0.223400,8.469000,0.158705,8.859258,0.248404,8.566125
1250.000000,0.365367,8.408932,0.225000,8.506000,0.159662,8.900983,0.250010,8.605305
1255.000000,0.367627,8.447746,0.226550,8.543500,0.162578,8.944303,0.252252,8.645183
1260.000000,0.369887,8.486559,0.228100,8.581000,0.165494,8.987624,0.254494,8.685061
1265.000000,0.372147,8.525373,0.229700,8.618000,0.162438,9.028192,0.254762,8.723855
