x_alaee,x_mie,C_pathA,C_table1,C_mie_l12,A_ED,T_ED,M_ED,A_MD,T_MD,M_MD,A_EQ,T_EQ,M_EQ,A_MQ,T_MQ,M_MQ
0.11959731543624161,0.3757260475635578,0.0016558038493789747,0.0016558009825034389,0.0016559808068298254,0.001653042373539442,0.0016530423735394422,0.0016532743827671152,2.6171807682659673e-06,2.617180768265965e-06,2.565014346025175e-06,1.442297436689699e-07,1.413628681333517e-07,1.413453158019641e-07,6.532759733060845e-11,6.532759733060863e-11,6.44008830705181e-11
0.12147651006711409,0.3816297116105722,0.0018230424134008175,0.0018230389572074647,0.001823247358998913,0.0018198006525374417,0.001819800652537441,0.0018200722316538678,3.0730603549847946e-06,3.073060354984793e-06,3.0099038602895284e-06,1.6861910046097505e-07,1.6516290710864208e-07,1.6514327573415358e-07,8.140793012314442e-11,8.140793012314403e-11,8.020902151689573e-11
0.12335570469798657,0.38753337565758655,0.002004366754666484,0.002004362599962045,0.0020046034538194384,0.0020005699020052507,0.0020005699020052515,0.002000887029386971,3.600088438726386e-06,3.6000884387263865e-06,3.5238382736665546e-06,1.9666311244562946e-07,1.925084080051494e-07,1.924865930395572e-07,1.0111006160252941e-10,1.0111006160253003e-10,9.95657611214804e-11
0.12523489932885903,0.39343703970460087,0.0022007406457876903,0.002200735665287972,0.002201013273467279,0.002196303521150522,0.0021963035211505226,0.002196672966990357,4.208157981022535e-06,4.208157981022532e-06,4.1163463742035104e-06,2.2884147934323318e-07,2.238609796246681e-07,2.238369067954641e-07,1.2517680213365804e-10,1.251768021336586e-10,1.2319592347062997e-10
0.12711409395973153,0.3993407037516153,0.0024131797292143136,0.0024131737748901666,0.0024134929011851002,0.00240800550423477,0.00240800550423477,0.0024084349211989328,4.908382224464925e-06,4.908382224464926e-06,4.798120448671853e-06,2.6568826615096864e-07,2.5973394200480703e-07,2.597075792299975e-07,1.5448892670215042e-10,1.5448892670215047e-10,1.519582657072849e-10
0.12899328859060402,0.40524436779862966,0.0026427536303670505,0.0026427465304496773,0.0026431124349209486,0.0026367324149958976,0.0026367324149958976,0.002637230437676456,5.713228155515489e-06,5.713228155515489e-06,5.5811417948223085e-06,3.0779712740000517e-07,3.006972100270425e-07,3.0066858194718934e-07,1.9008823727251162e-10,1.9008823727251077e-10,1.8686772338660786e-10
0.1308724832214765,0.41114803184564397,0.0028905881322426365,0.0028905796878505724,0.002890998162102399,0.0028835954090736175,0.0028835954090736192,0.0028841717629365013,6.636663017536627e-06,6.636663017536626e-06,6.478818284040788e-06,3.5582694741101307e-07,3.473825553453431e-07,3.4735176090842873e-07,2.3320407107455814e-10,2.332040710745593e-10,2.2912094854900632e-10
0.13275167785234898,0.4170516958926584,0.003157867412390281,0.0031578573937368465,0.003158334796370529,0.0031497623041398313,0.0031497623041398313,0.0031504279247113647,7.694315043508713e-06,7.694315043508716e-06,7.506135030201083e-06,4.1050792322972055e-07,4.004892697946354e-07,4.0045650338834607e-07,2.8528371169676204e-10,2.8528371169676085e-10,2.8012557495640384e-10
0.13463087248322145,0.4229553599396727,0.003445836343112711,0.0034458244852489535,0.003446367777042456,0.0034364596972886385,0.003436459697288638,0.003437226860368254,8.903649678597044e-06,8.903649678597045e-06,8.67981930931368e-06,4.726481182625656e-07,4.607902545053883e-07,4.6075583119667435e-07,3.4802721323712616e-10,3.480272132371244e-10,3.41533692118377e-10
0.13651006711409394,0.4288590239866871,0.0037558028556957785,0.003755788853739809,0.0037564056320093897,0.0037449751290802823,0.0037449751290802823,0.0037458575928127464,1.0284162672266604e-05,1.0284162672266601e-05,1.0018520971011817e-05,5.43140516023362e-07,5.291385600532982e-07,5.29102945567492e-07,4.2342720659997763e-10,4.234272065999794e-10,4.1528006439790445e-10
