x,fano_profile
1.29338,1.7246375685254236
1.29356,1.7265690857057385
1.29374,1.7285074935011473
1.29392,1.7304527792713722
1.2941,1.7324049289734758
1.29428,1.7343639271187172
1.29446,1.7363297567282236
1.29464,1.7383023992874787
1.29482,1.740281834699556
1.295,1.7422680412371119
1.29518,1.744260995493085
1.29536,1.746260672330045
1.29554,1.7482670448281954
1.29572,1.7502800842319854
1.2959,1.7522997598952577
1.29608,1.7543260392249522
1.29626,1.756358887623294
1.29644,1.7583982684284158
1.2966199999999999,1.760444142853409
1.2968,1.762496469923749
1.29698,1.7645552064130214
1.2971599999999999,1.7666203067769641
1.29734,1.7686917230857426
1.29752,1.7707694049544063
1.2977,1.772853299471518
1.29788,1.7749433511258739
1.29806,1.7770395017312928
1.29824,1.7791416903493897
1.29842,1.781249853210328
1.2986,1.7833639236314769
1.29878,1.7854838319339
1.29896,1.7876095053566636
1.29914,1.7897408679688938
1.29932,1.7918778405794953
1.2994999999999999,1.7940203406445268
1.29968,1.7961682821721474
1.29986,1.798321575625058
1.30004,1.8004801278204101
1.30022,1.8026438418271042
1.3004,1.8048126168604166
1.30058,1.806986348173871
1.30076,1.8091649269483248
1.30094,1.8113482401781877
1.30112,1.8135361705546775
1.3013,1.8157285963460816
1.30148,1.8179253912749513
1.30166,1.8201264243921083
1.3018399999999999,1.822331559947451
1.30202,1.8245406572574652
1.3022,1.8267535705693219
1.3023799999999999,1.8289701489215537
1.30256,1.8311902360011918
1.30274,1.8334136699972639
1.30292,1.8356402834506262
1.3031,1.837869903100003
1.30328,1.8401023497241742
1.30346,1.8423374379801976
1.30364,1.844574976237616
1.30382,1.8468147664085561
1.304,1.8490566037735845
1.30418,1.8513002768033011
1.30436,1.8535455669755445
1.30454,1.855792248588099
1.3047199999999999,1.8580400885668562
1.3049,1.8602888462693228
1.30508,1.8625382732833455
1.30526,1.864788113221027
1.30544,1.8670381015076811
1.30562,1.8692879651657743
1.3058,1.8715374225937156
1.30598,1.8737861833394485
1.30616,1.8760339478687302
1.30634,1.878280407327979
1.30652,1.8805252433016415
1.3067,1.8827681275639694
1.30688,1.885008721825084
1.3070599999999999,1.8872466774712853
1.30724,1.8894816352994952
1.30742,1.8917132252457198
1.3075999999999999,1.8939410661074911
1.30778,1.8961647652601796
1.30796,1.8983839183670714
1.30814,1.9005981090831792
1.30832,1.9028069087526656
1.3085,1.9050098760998373
1.30868,1.9072065569135974
1.30886,1.9093964837253345
1.30904,1.9115791754801676
1.30922,1.9137541372014597
1.3094,1.9159208596485955
1.30958,1.9180788189679536
1.30976,1.920227476337007
1.3099399999999999,1.9223662776015633
1.31012,1.9244946529060925
1.3103,1.9266120163171063
1.31048,1.9287177654396184
1.31066,1.9308112810266447
1.31084,1.9328919265817883
1.31102,1.934959047954882
1.3112,1.9370119729307633
1.31138,1.939050010811214
1.31156,1.9410724519900835
1.31174,1.9430785675217206
1.31192,1.9450676086827736
1.3121,1.947038806527439
1.31228,1.9489913714363163
1.31246,1.9509244926589926
1.31264,1.9528373378504877
1.3128199999999999,1.9547290526017749
1.313,1.956598759964569
1.31318,1.9584455599705668
1.3133599999999999,1.9602685291454456
1.31354,1.9620667200178583
1.31372,1.963839160623722
1.3139,1.9655848540061598
1.31408,1.9673027777114316
1.31426,1.9689918832812752
1.31444,1.9706510957420467
1.31462,1.9722793130911764
1.3148,1.973875405781418
1.31498,1.9754382162034243
1.3151599999999999,1.9769665581672657
1.31534,1.978459216383517
1.31552,1.9799149459445606
1.3157,1.9813324718068837
1.31588,1.9827104882751057
1.31606,1.9840476584886027
1.31624,1.9853426139115777
1.31642,1.9865939538275692
1.3166,1.9878002448393766
1.31678,1.9889600203754725
1.31696,1.9900717802040637
1.31714,1.991133989955988
