x_alaee,lambda_nm,channel,paper_exact_normalized_csca,source_x_px,trace_y_px,nearest_rgb_residual,colour_strength,source_sha256,provenance,gate_role
0.660000,757.575757576,MQ,0.069536424,438.453333,348.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.700000,714.285714286,ED,2.758278146,474.400000,232.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.700000,714.285714286,MD,2.966887417,474.400000,223.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.700000,714.285714286,EQ,0.927152318,474.400000,311.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.700000,714.285714286,MQ,0.092715232,474.400000,347.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.740000,675.675675676,ED,2.526490066,510.346667,242.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.740000,675.675675676,MD,3.245033113,510.346667,211.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.740000,675.675675676,EQ,1.274834437,510.346667,296.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.740000,675.675675676,MQ,0.139072848,510.346667,345.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.780000,641.025641026,ED,2.264724062,546.293333,253.293333,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.780000,641.025641026,MD,3.384105960,546.293333,205.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
