x_alaee,x_mie,C_pathB,C_mie_l12,B_ED,M_ED,B_MD,M_MD,B_EQ,M_EQ,B_MQ,M_MQ
0.2810050251256282,0.8828033225564887,0.38046561229422,0.3804659740579471,0.34527528620622777,0.345275669030184,0.03445846823899937,0.03445846815486172,0.0007190848993994285,0.0007190639494532099,1.2772949593412821e-05,1.2772923448174342e-05
0.28592964824120604,0.8982744823580866,0.42756123178500577,0.42756162622210364,0.38288905233382425,0.3828894629872053,0.0437991161845368,0.04379912560701521,0.0008565487075605726,0.0008565231217581223,1.6514559084131504e-05,1.6514506125075293e-05
0.29085427135678393,0.9137456421596846,0.48015220357522803,0.4801526323144571,0.42337978517813146,0.4233802213853185,0.05573372021980538,0.055733744076813974,0.0010174218591031204,0.0010173906254341777,2.1276318188091778e-05,2.12762268904469e-05
0.29577889447236183,0.9292168019612826,0.5390621099150422,0.539062575193681,0.466804298214482,0.46680475659304066,0.07102525383175948,0.0710252989931707,0.0012052396288889282,0.0012052015124139608,2.731823991177463e-05,2.731809505564761e-05
0.30070351758793973,0.9446879617628806,0.6053355754416596,0.6053360806118555,0.5131977885372148,0.5131982644394032,0.09067881342586893,0.09067888941709733,0.001424010654276364,0.0014239641493525136,3.4962824299460586e-05,3.4962606002467705e-05
0.3056281407035176,0.9601591215644786,0.6803176809162083,0.680318231205036,0.5625715495523179,0.5625720369065904,0.11602324821506341,0.11602336819188741,0.0016782737165910414,0.0016782169917809319,4.46094322359659e-05,4.4609114777166205e-05
0.3105527638190955,0.9756302813660765,0.7657607041892167,0.765761307811684,0.6149110491502126,0.6149115403068611,0.14881974232167125,0.14881992439939748,0.0019731608186237494,0.001973091656316869,5.6751898709078117e-05,5.67514491085959e-05
0.3154773869346734,0.9911014411676746,0.8639644613375821,0.8639651310918176,0.6701744772669189,0.6701749628524345,0.19140351670591343,0.19140378576179323,0.0023144672412396573,0.0023143829777653086,7.200012351008686e-05,7.199949982457454e-05
0.32040201005025126,1.0065726009692724,0.9779538378294574,0.9779545933324258,0.7282918568834809,0.7282923256685181,0.2468621450551596,0.24686253514454243,0.0027087293377012203,0.0027086268169600513,9.110655311579205e-05,9.110570240536418e-05
0.32532663316582916,1.0220437607708703,1.1116876760333207,1.111688546767187,0.7891647957020489,0.7891652344879907,0.31924457073595824,0.3192451282609486,0.0031633109070876558,0.0031631864741047283,0.00011499868822578338,0.00011499754414327793
